#{"t_start": 1746538978.3388743, "env_id": "Pendulum-v1"}
r,l,t
-1081.421169,200,71.954603
-1061.239977,200,72.052065
-778.631157,200,72.151074
-786.959295,200,72.939717
-1450.008037,200,73.037938
-1466.042839,200,73.138266
-983.765264,200,73.239615
-1397.788128,200,73.341619
-1090.967283,200,73.440708
-777.297938,200,73.540084
-1365.897151,200,73.636885
-1160.963739,200,73.73455
-1190.468857,200,73.832236
-983.832181,200,74.622437
-904.015773,200,74.721093
-1120.794581,200,74.819531
-1337.556909,200,74.918972
-982.879594,200,75.018394
-916.731706,200,75.118034
-771.962804,200,75.218073
-1458.89213,200,75.316896
-749.969235,200,75.416396
-1032.0612,200,75.513973
-1172.421455,200,76.306828
-1338.338249,200,76.402952
-1244.694061,200,76.497775
-1112.358856,200,76.592318
-760.053416,200,76.688558
-1060.57634,200,76.784127
-869.49588,200,76.879625
-1318.711323,200,76.975453
-872.853907,200,77.070737
-1117.532408,200,77.167733
-987.977615,200,77.263065
-779.319688,200,78.06367
-1030.527971,200,78.163483
-880.232721,200,78.26388
-900.142507,200,78.36351
-923.904122,200,78.463582
-857.230264,200,78.563238
-1032.947438,200,78.662059
-882.702262,200,78.761968
-1155.621495,200,78.861683
-1106.04922,200,78.961607
-866.935191,200,79.77732
-996.632524,200,79.872797
-1330.217063,200,79.969357
-1091.947249,200,80.065468
-1137.07838,200,80.164551
-1415.261436,200,80.26265
-1142.88062,200,80.360872
-672.658723,200,80.458844
-911.717262,200,80.555883
-988.578461,200,80.653863
-1010.549464,200,81.454625
-1269.014525,200,81.551115
-1030.707773,200,81.647718
-1050.708635,200,81.74426
-810.63472,200,81.841286
-1281.695411,200,81.937921
-1020.198216,200,82.03434
-1041.043703,200,82.131317
-980.357075,200,82.231963
-911.037865,200,82.329333
-1099.714048,200,83.142439
-989.666882,200,83.238435
-901.3111,200,83.335927
-1004.083015,200,83.432283
-1049.298935,200,83.530879
-1017.38515,200,83.628165
-865.838516,200,83.725807
-877.177352,200,83.821712
-950.762294,200,83.918674
-1010.897869,200,84.016044
-914.941613,200,84.113498
-1008.100884,200,84.912331
-1000.974909,200,85.010542
-1015.961773,200,85.109815
-984.581378,200,85.208879
-991.597939,200,85.308552
-987.748474,200,85.406812
-877.394413,200,85.504935
-798.260917,200,85.604333
-748.032353,200,85.703208
-1028.956625,200,85.802552
-887.58332,200,86.628963
-986.785485,200,86.724926
-882.709886,200,86.82076
-1251.503626,200,86.919115
-1012.983036,200,87.016776
-873.495453,200,87.114068
-630.084528,200,87.21148
-757.947131,200,87.308692
-908.718879,200,87.406462
-1309.024334,200,87.503135
-1157.640572,200,88.309691
-753.70384,200,88.406716
-1482.951845,200,88.501748
-869.771135,200,88.596697
-974.74588,200,88.693932
-1255.613497,200,88.791523
-1372.485987,200,88.889927
-1016.257634,200,88.98652
-901.964803,200,89.084199
-966.710419,200,89.182048
-1489.433544,200,89.977994
-1443.283067,200,90.07652
-966.640638,200,90.174799
-1002.924174,200,90.274051
-1260.500916,200,90.373181
-876.139063,200,90.471671
-772.076391,200,90.571598
-1275.471479,200,90.671746
-876.121134,200,90.771684
-1122.25172,200,90.872085
-1423.092818,200,91.691092
-1008.229296,200,91.787138
-1447.309737,200,91.882469
