/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/gym/core.py:317: DeprecationWarning: [33mWARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.[0m
  deprecation(
/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/gym/wrappers/step_api_compatibility.py:39: DeprecationWarning: [33mWARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.[0m
  deprecation(
/home/menzzz/anaconda3/envs/py38/lib/python3.8/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
[Epoch 93/300] Train Loss: 0.0123 | Val Loss: 0.0136
[Epoch 94/300] Train Loss: 0.0128 | Val Loss: 0.0116
[Epoch 95/300] Train Loss: 0.0123 | Val Loss: 0.0129
[Epoch 96/300] Train Loss: 0.0120 | Val Loss: 0.0114
[Epoch 97/300] Train Loss: 0.0122 | Val Loss: 0.0115
[Epoch 98/300] Train Loss: 0.0119 | Val Loss: 0.0138
[Epoch 99/300] Train Loss: 0.0120 | Val Loss: 0.0116
[Epoch 100/300] Train Loss: 0.0120 | Val Loss: 0.0110
[Epoch 101/300] Train Loss: 0.0118 | Val Loss: 0.0109
[Epoch 102/300] Train Loss: 0.0117 | Val Loss: 0.0134
[Epoch 103/300] Train Loss: 0.0119 | Val Loss: 0.0117
[Epoch 104/300] Train Loss: 0.0115 | Val Loss: 0.0104
[Epoch 105/300] Train Loss: 0.0115 | Val Loss: 0.0132
[Epoch 106/300] Train Loss: 0.0116 | Val Loss: 0.0116
[Epoch 107/300] Train Loss: 0.0116 | Val Loss: 0.0103
[Epoch 108/300] Train Loss: 0.0122 | Val Loss: 0.0112
[Epoch 109/300] Train Loss: 0.0116 | Val Loss: 0.0120
[Epoch 110/300] Train Loss: 0.0114 | Val Loss: 0.0131
[Epoch 111/300] Train Loss: 0.0115 | Val Loss: 0.0127
[Epoch 112/300] Train Loss: 0.0113 | Val Loss: 0.0131
[Epoch 113/300] Train Loss: 0.0113 | Val Loss: 0.0106
[Epoch 114/300] Train Loss: 0.0112 | Val Loss: 0.0096
[Epoch 115/300] Train Loss: 0.0112 | Val Loss: 0.0111
[Epoch 116/300] Train Loss: 0.0124 | Val Loss: 0.0097
